"","yearBP","spd","peri_numeric","cribra","porotic","d18OiceSMOW","lag_25yr","lag_50yr","lag_100yr","spd_fact","LIP_phase"
"822",1271,1.15064979819229e-05,NA,NA,NA,-18.64,NA,NA,NA,NA,NA
"823",1272,1.1305826398095e-05,NA,NA,NA,-17.06,NA,NA,NA,NA,NA
"824",1273,1.10383469684594e-05,NA,NA,NA,-17.2,NA,NA,NA,NA,NA
"825",1274,1.06838817758275e-05,NA,NA,NA,-18.86,NA,NA,NA,NA,NA
"826",1275,1.02168617550423e-05,NA,NA,NA,-19.7,NA,NA,NA,NA,NA
"827",1276,9.75655899883592e-06,NA,NA,NA,-18.65,NA,NA,NA,NA,NA
"828",1277,0,NA,NA,NA,-17.59,NA,NA,NA,NA,NA
"829",1278,0,NA,NA,NA,-17.67,NA,NA,NA,NA,NA
"830",1279,0,NA,NA,NA,-17.46,NA,NA,NA,NA,NA
"831",1280,0,NA,NA,NA,-16.96,NA,NA,NA,NA,NA
"832",1281,0,NA,NA,NA,-17.39,NA,NA,NA,NA,NA
"833",1282,0,NA,NA,NA,-17.22,NA,NA,NA,NA,NA
"834",1283,0,NA,NA,NA,-17.26,NA,NA,NA,NA,NA
"835",1284,0,NA,NA,NA,-17.63,NA,NA,NA,NA,NA
"836",1285,0,NA,NA,NA,-17.02,NA,NA,NA,NA,NA
"837",1286,0,NA,NA,NA,-16.8,NA,NA,NA,NA,NA
"838",1287,0,NA,NA,NA,-17.46,NA,NA,NA,NA,NA
"839",1288,0,NA,NA,NA,-18.13,NA,NA,NA,NA,NA
"840",1289,0,NA,NA,NA,-17.9,NA,NA,NA,NA,NA
"841",1290,0,NA,NA,NA,-17.96,NA,NA,NA,NA,NA
"842",1291,0,NA,NA,NA,-18.15,NA,NA,NA,NA,NA
"843",1292,0,NA,NA,NA,-18.09,NA,NA,NA,NA,NA
"844",1293,0,NA,NA,NA,-17.8,NA,NA,NA,NA,NA
"845",1294,0,NA,NA,NA,-16.98,NA,NA,NA,NA,NA
"846",1295,0,NA,NA,NA,-17.37,NA,NA,NA,NA,NA
"847",1296,0,NA,NA,NA,-18.56,NA,NA,NA,NA,NA
"848",1297,0,NA,NA,NA,-18.04,NA,NA,NA,NA,NA
"849",1298,0,NA,NA,NA,-18.35,NA,NA,NA,NA,NA
"850",1299,0,NA,NA,NA,-19.19,NA,NA,NA,NA,NA
"851",1300,0,NA,NA,NA,-19.22,NA,NA,NA,NA,NA
